row,date,description,town,lat,lon,status,thumbnail_url,video_url
122,2026-05-09,Strike on soldiers,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_strike_on_soldiers.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_strike_on_soldiers.mp4
123,2026-05-09,Strike on israeli military vehicle,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_strike_on_israeli_military_vehicle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_strike_on_israeli_military_vehicle.mp4
124,2026-05-09,soldiers gathering shlomi,Shlomi,33.07429444,35.14379167,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_soldiers_gathering_shlomi_mmirleb_15970.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_soldiers_gathering_shlomi_mmirleb_15970.mp4
125,2026-05-09,soldiers gathering jal al alam,Border Israel opposite Alma al-Shaab,33.09506944,35.1746,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_soldiers_gathering_jal_al_alam_mmirleb_15988.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_soldiers_gathering_jal_al_alam_mmirleb_15988.mp4
126,2026-05-09,tent deir siryan khallet al raj,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_tent_deir_siryan_khallet_al_raj_mmirleb_16065.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_tent_deir_siryan_khallet_al_raj_mmirleb_16065.mp4
127,2026-05-09,humvee bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_humvee_bayyadah_mmirleb_16093.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_humvee_bayyadah_mmirleb_16093.mp4
128,2026-05-09,soldiers deir siryan,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_soldiers_deir_siryan_mmirleb_16168.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_soldiers_deir_siryan_mmirleb_16168.mp4
129,2026-05-09,target deir siryan khallet al raj,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-09_target_deir_siryan_khallet_al_raj_mmirleb_16249.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-09_target_deir_siryan_khallet_al_raj_mmirleb_16249.mp4
130,2026-05-08,Strike on merkava tank near namr al jamal,Border Israel opposite Alma al-Shaab,33.09506944,35.1746,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_strike_on_merkava_tank_near_namr_al_jamal.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_strike_on_merkava_tank_near_namr_al_jamal.mp4
131,2026-05-08,merkava tank bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_merkava_tank_bayyadah_mmirleb_16051.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_merkava_tank_bayyadah_mmirleb_16051.mp4
132,2026-05-08,Strike on merkava tank,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_strike_on_merkava_tank.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_strike_on_merkava_tank.mp4
133,2026-05-08,Strike on humvee in naqoura,Naqoura,33.118975,35.14008333,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_strike_on_humvee_in_naqoura.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_strike_on_humvee_in_naqoura.mp4
134,2026-05-08,Resistance strikes enemy forces kfar kila,Kafr Kela,33.2772,35.55606111,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_resistance_strikes_enemy_forces_kfar_kila.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_resistance_strikes_enemy_forces_kfar_kila.mp4
135,2026-05-08,humvee bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-08_humvee_bayyadah_mmirleb_16048.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-08_humvee_bayyadah_mmirleb_16048.mp4
136,2026-05-07,Strike on iron dome launcher at jal al alam,Border Israel opposite Alma al-Shaab,33.09506944,35.1746,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-07_strike_on_iron_dome_launcher_at_jal_al_alam.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-07_strike_on_iron_dome_launcher_at_jal_al_alam.mp4
137,2026-05-06,Strike on soldier group,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_strike_on_soldier_group.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_strike_on_soldier_group.mp4
138,2026-05-06,Strike on namer apc near qouzah,Qouzah,33.12077222,35.34090833,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_strike_on_namer_apc_near_qouzah.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_strike_on_namer_apc_near_qouzah.mp4
139,2026-05-06,Strike on namer apc near deir siryan,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_strike_on_namer_apc_near_deir_siryan.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_strike_on_namer_apc_near_deir_siryan.mp4
140,2026-05-06,Strike on namer apc in bint jbeil,Bint Jbeil,33.12122222,35.43349722,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_strike_on_namer_apc_in_bint_jbeil.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_strike_on_namer_apc_in_bint_jbeil.mp4
141,2026-05-06,Strike on enemy position,Taybeh,33.27614167,35.52115278,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_strike_on_enemy_position.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_strike_on_enemy_position.mp4
142,2026-05-06,soldiers gathering aita al shaab,Ayta ash Shab / Aita al-Shaab,33.09846111,35.33781389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_soldiers_gathering_aita_al_shaab_mmirleb_15841.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_soldiers_gathering_aita_al_shaab_mmirleb_15841.mp4
143,2026-05-06,position point taybeh,Taybeh,33.27614167,35.52115278,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_position_point_taybeh_mmirleb_16210.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_position_point_taybeh_mmirleb_16210.mp4
144,2026-05-06,d9 engineering vehicle houla,Houla,33.20943611,35.515425,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-06_d9_engineering_vehicle_houla_mmirleb_16347.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-06_d9_engineering_vehicle_houla_mmirleb_16347.mp4
145,2026-05-05,Strike on merkava tank,Qouzah,33.12077222,35.34090833,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-05_strike_on_merkava_tank.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-05_strike_on_merkava_tank.mp4
146,2026-05-04,Strike on troop transport vehicle,Unknown (Israel),,,unmapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-04_strike_on_troop_transport_vehicle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-04_strike_on_troop_transport_vehicle.mp4
147,2026-05-04,Strike on engineering vehicle,Manara,33.19809722,35.54392778,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-04_strike_on_engineering_vehicle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-04_strike_on_engineering_vehicle.mp4
148,2026-05-04,hemtt logistics vehicle manara,Manara,33.19809722,35.54392778,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-04_hemtt_logistics_vehicle_manara_mmirleb_16528.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-04_hemtt_logistics_vehicle_manara_mmirleb_16528.mp4
149,2026-05-03,Strike on surveillance camera,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-03_strike_on_surveillance_camera.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-03_strike_on_surveillance_camera.mp4
